transaction_id,sender_upi_id,receiver_upi_id,amount,timestamp,hour,receiver_risk_category,raw_amount,raw_frequency,raw_verification,raw_blacklist,raw_geo,raw_trust_score,raw_account_age_years,raw_fraud_complaints,raw_past_fraud,norm_f1_amount,norm_f2_frequency,norm_f3_blacklist,norm_f4_device,norm_f5_vpn,norm_f6_biometrics,norm_f7_time_since,norm_f8_trust,norm_f9_age,norm_f10_risk_time,norm_f11_past_fraud,norm_f12_location,norm_f13_norm_amount,norm_f14_context,norm_f15_complaints,norm_f16_mismatch,norm_f17_limit,norm_f18_high_value,norm_f19_suspicious,norm_f20_verified,norm_f21_geo_normal,norm_f22_geo_unusual,fraud_probability,label
TXN000001,vikram.agarwal7@okaxis,swatimishra@oksbi,41969.73,2025-12-15T03:45:02.649574,16,medium,41969.73,10,verified,0,normal,40.554867285515414,1.5,2,1,8.839728285439143,0.7692307692307693,0,0,1,0.37389114379888316,0.3481190064022301,0.40552377489022323,0.29990912844939766,0,1,0,1.0025254575352236,0.08168856153213098,0.4,0,0,0,0,1,1,0,0.2525,0
TXN000002,fraud.actor@upi,arjun19@paytm,830.2,2025-10-30T13:40:02.649574,6,medium,830.2,3,recently_registered,0,normal,59.15240204337895,0.8333333333333334,1,1,0.17485678413976102,0.23076923076923078,0,0,0,0.2405385120244813,0.802812616522561,0.5915460689152017,0.16652948570410314,0,1,0,0.13181965065432674,0.29928726640806735,0.2,0,0,0,0,0,1,0,0.02,0
TXN000003,deepak.rao1@okaxis,mohit36@ybl,1329.57,2025-11-30T21:28:02.649574,22,safe,1329.57,7,verified,0,normal,67.54772444032682,1.75,0,0,0.28003486667020977,0.5384615384615384,0,0,0,0.47201366967494957,0.300278209196357,0.6755204855081959,0.3499264944788831,0,0,0,0.21131147097355474,0.0941819865629027,0.0,0,0,0,0,1,1,0,0.0,0
TXN000004,nisha.sharma8@gpay,nishareddy@okaxis,3901.89,2025-10-28T00:32:02.649574,19,safe,3901.89,6,verified,0,normal,99.89642315730347,2.25,0,0,0.8218208875659861,0.46153846153846156,0,0,0,0.3999021696011954,0.7938014449211812,0.9990891316972011,0.449961226537854,0,0,0,0.6207842051056744,0.2313784830416991,0.0,0,0,0,0,1,1,0,0.21,0
TXN000005,pooja.sharma@ybl,sneha81@okicici,36713.64,2025-10-29T21:02:02.649574,23,high,36713.64,1,suspicious,0,high-risk,11.414135254446162,0.5,3,1,7.732682472099401,0.07692307692307693,0,0,0,0.887376742471893,0.15090069871414097,0.11404289354950671,0.09983966433145589,1,1,0,1.0025254575352236,0.7058929627514093,0.6,1,0,1,1,0,0,0,0.4364,0
TXN000006,akash91@phonepe,nikhil79@okicici,1401.11,2025-10-24T05:25:02.649574,15,safe,1401.11,2,verified,0,normal,82.0085929962533,4.5,0,0,0.29510273222927075,0.15384615384615385,0,0,1,0.316316431371448,0.9547005530614628,0.8201656751739766,0.9001175208032228,0,0,0,0.2226995095534405,0.023082762616958432,0.0,0,0,0,0,1,1,0,0.0,0
TXN000007,arjun.verma@okaxis,suspicious.account@upi,459.35,2025-09-21T04:07:02.649574,16,high,459.35,0,suspicious,1,high-risk,5.0,0.08333333333333333,5,1,0.0967477829854728,0.0,1,1,1,0.16821295811929957,0.03705955514443175,0.04988534956566989,0.016477387615646818,0,1,0,0.07278618535728101,0.8664821805548859,1.0,1,0,0,1,0,0,0,0.55,1
TXN000008,gaurav.mehta5@paytm,deepak.jain@upi,2214.52,2025-09-23T20:52:02.649574,23,high,2214.52,1,recently_registered,0,unusual,24.42562210184608,0.0,3,1,0.4664244057601042,0.07692307692307693,0,1,1,0.862582799317395,0.1452742051116417,0.2441906074020509,-0.0001950677275149932,1,1,1,0.35218154004358465,0.7918443705929835,0.6,0,0,0,0,0,0,1,0.3365,0
TXN000009,meeraagarwal@ybl,ananyachoudhary@ybl,4547.48,2025-09-24T19:03:02.649574,1,high,4547.48,0,recently_registered,1,high-risk,0.889008643449829,0.16666666666666666,4,1,0.9577960528759414,0.0,1,0,1,0.4070871672558456,0.10866451717832801,0.008765058472304946,0.03314984295880863,1,1,0,0.723551941012698,0.3982644893978342,0.8,0,0,0,0,0,0,0,0.7487,1
TXN000010,anjali.gupta3@okicici,gaurav.agarwal6@ybl,42793.07,2025-12-14T19:55:02.649574,0,high,42793.07,2,recently_registered,0,unusual,37.303971703660075,0.16666666666666666,5,1,9.013141430943717,0.15384615384615385,0,0,0,0.5345071806387092,0.024815440812243822,0.37300661271545177,0.03314984295880863,1,1,0,1.0025254575352236,0.3424657370880075,1.0,0,0,1,0,0,0,1,0.2901,0
TXN000011,isha34@gpay,mohit41@okicici,1508.19,2025-10-07T12:18:02.649574,8,safe,1508.19,9,verified,0,normal,63.29150629535535,4.0,0,0,0.31765608761177366,0.6923076923076923,0,0,0,0.4617067477452933,0.6417057655382314,0.6329475599292529,0.8000827887442521,0,0,0,0.23974495505433754,0.28199411860923207,0.0,0,0,0,0,1,1,0,0.0,0
TXN000012,ananya.rao@paytm,mohit41@okicici,370.35,2025-12-11T02:48:02.649574,17,safe,370.35,9,verified,0,normal,63.29150629535535,4.0,0,0,0.07800246519463647,0.6923076923076923,0,0,0,0.016414653478144112,0.9871511912211307,0.6329475599292529,0.8000827887442521,0,0,0,0.05861879042284103,0.15792153168571677,0.0,0,0,0,0,1,1,0,0.0,0
TXN000013,karan.singh@oksbi,sneha.mehta@gpay,2736.03,2025-11-03T06:03:02.649574,14,safe,2736.03,8,verified,0,normal,65.34476562257097,3.25,0,0,0.5762656493679588,0.6153846153846154,0,0,0,0.3772427515702,0.3271302630481128,0.6534853363200368,0.6500306906557958,0,0,0,0.4351976988330206,0.3548184859534679,0.0,0,0,0,0,1,1,0,0.04,0
TXN000014,demo.user@upi,deepak.nair@okaxis,1440.64,2025-12-15T12:53:02.649574,7,medium,1440.64,9,recently_registered,0,normal,56.47392697578874,0.75,0,1,0.3034286020300771,0.6923076923076923,0,0,1,0.021384911855038095,0.25776945502793064,0.5647545568654035,0.14985703036094133,0,1,0,0.22899206148331033,0.2747697919178468,0.0,0,0,0,0,0,1,0,0.14,0
TXN000015,poojakumar@ybl,swati45@oksbi,869.33,2025-09-19T11:56:02.649574,8,medium,869.33,2,verified,0,normal,38.03165263714382,0.8333333333333334,1,1,0.18309840532128266,0.15384615384615385,0,0,0,0.28505115648408175,0.516994686396721,0.3802852589622425,0.16652948570410314,0,1,0,0.13804852889909794,0.12027846515233967,0.2,0,0,0,0,1,1,0,0.05,0
TXN000016,akash.mishra6@okaxis,anjali.gupta3@okicici,3279.71,2025-11-19T12:24:02.649574,8,safe,3279.71,4,verified,0,normal,95.56433568214518,2.8333333333333335,0,0,0.6907763726996654,0.3076923076923077,0,0,0,0.263438540259352,0.6179426612090783,0.9557573212966275,0.5666684139399867,0,0,0,0.5217429716190468,0.18240932192514714,0.0,0,0,0,0,1,1,0,0.22,0
TXN000017,vikram80@paytm,karan.reddy@phonepe,199.51,2025-11-08T00:29:02.649574,19,safe,199.51,3,verified,0,normal,87.62907232991039,3.6666666666666665,0,0,0.042019879898159175,0.23076923076923078,0,0,0,0.3048130492592978,0.7742770929355951,0.8763846564948634,0.7333929673716048,0,0,0,0.031423759517226126,0.10472048159833912,0.0,0,0,0,0,1,1,0,0.0,0
TXN000018,gaurav.agarwal6@ybl,divya40@ybl,838.46,2025-11-24T10:19:02.649574,10,safe,838.46,6,verified,0,normal,92.38755375238762,2.75,0,0,0.1765965181279892,0.46153846153846156,0,0,0,0.0768226903827407,0.9773166771405325,0.9239814827306729,0.5499959585968248,0,0,0,0.13313451225161294,0.028652038334175112,0.0,0,0,0,0,1,1,0,0.0,0
TXN000019,kritikarao@phonepe,swati.mishra8@okicici,436.44,2025-09-18T16:55:02.649574,3,high,436.44,0,suspicious,0,unusual,2.3789319416544563,0.08333333333333333,4,1,0.09192244331594403,0.0,0,1,1,0.19355832427124792,0.061616978629276134,0.023668052522959785,0.016477387615646818,1,1,0,0.06913927504325831,0.9830012968816163,0.8,1,0,0,1,0,0,1,0.26,0
TXN000020,nisha.sharma8@gpay,neha82@upi,371.77,2025-09-22T04:29:02.649574,15,safe,371.77,5,verified,0,normal,90.2982128349443,2.6666666666666665,0,0,0.07830154779309699,0.38461538461538464,0,0,0,0.42457352172402496,0.9430383604640952,0.9030827993555163,0.533323503253663,0,0,0,0.05884483200494107,0.36760867872799746,0.0,0,0,0,0,1,1,0,0.0,0
TXN000021,pooja.sharma@ybl,priya30@oksbi,4733.39,2025-11-07T09:24:02.649574,11,safe,4733.39,7,verified,0,normal,86.00493497529932,4.416666666666667,0,0,0.9969527049039684,0.5384615384615384,0,0,0,0.08417405387634017,0.8719073325065214,0.8601391830786267,0.8834450654600611,0,0,0,0.7531458780044031,0.11326748324766704,0.0,0,0,0,0,1,1,0,0.155,0
TXN000022,sneha.mehta@gpay,raj.mishra4@okicici,30665.11,2025-09-30T17:34:02.649574,2,high,30665.11,2,suspicious,0,high-risk,24.863601455456322,0.3333333333333333,5,1,6.458731719094825,0.15384615384615385,0,1,1,0.5393069301789125,0.03780936501156264,0.24857150654567017,0.06649475364513226,1,1,0,1.0025254575352236,0.2664036341165454,1.0,1,0,1,1,0,0,0,0.6064,1
TXN000023,karan.nair@gpay,harshrao@phonepe,3922.54,2025-12-07T12:58:02.649574,7,safe,3922.54,9,verified,0,normal,72.95018098522782,1.0,0,0,0.8261702225365566,0.6923076923076923,0,0,0,0.4865806054793139,0.9710474263344109,0.7295586885785147,0.19987439639042678,0,0,0,0.62407135909889,0.03909185732584004,0.0,0,0,0,0,1,1,0,0.08,0
TXN000024,aditya.sharma@upi,harshrao@phonepe,4710.22,2025-09-27T01:46:02.649574,18,safe,4710.22,8,verified,0,normal,72.95018098522782,1.0,0,0,0.9920726036319045,0.6153846153846154,0,0,0,0.420610854696893,0.49758165104053126,0.7295586885785147,0.19987439639042678,0,0,0,0.7494575797950663,0.28926505586014456,0.0,0,0,0,0,1,1,0,0.145,0
TXN000025,varun20@upi,mohit.mishra8@okaxis,11252.44,2025-10-29T00:19:02.649574,20,medium,11252.44,5,recently_registered,0,normal,45.995611352223456,1.25,1,0,2.3700051087730873,0.38461538461538464,0,0,0,0.3461553855614639,0.5355459926377094,0.459944949829223,0.2498917624199122,0,0,0,1.0025254575352236,0.20043500112561963,0.2,1,0,0,0,0,1,0,0.15,0
TXN000026,gaurav.agarwal6@ybl,kavya.dubey@phonepe,8075.62,2025-10-05T09:27:02.649574,10,medium,8075.62,6,recently_registered,0,unusual,55.763443960275225,1.3333333333333333,0,0,1.7008983619833717,0.46153846153846156,0,0,0,0.0795760930137307,0.987698836593116,0.557647933211657,0.266564217763074,0,0,0,1.0025254575352236,0.14521073772014922,0.0,0,0,0,0,0,0,1,0.089,0
TXN000027,karan.agarwal@okaxis,isha.nair2@okaxis,1133.01,2025-09-17T12:32:02.649574,7,safe,1133.01,9,verified,0,normal,89.14812620046852,1.75,0,0,0.238635095153729,0.6923076923076923,0,0,0,0.17007345923062098,0.9237952328492413,0.8915790298044369,0.3499264944788831,0,0,0,0.18002222211609942,0.17743093863929713,0.0,0,0,0,0,1,1,0,0.0,0
TXN000028,meeraagarwal@ybl,divya40@ybl,4397.58,2025-12-12T09:28:02.649574,10,safe,4397.58,6,verified,0,normal,92.38755375238762,2.75,0,0,0.926223882799016,0.46153846153846156,0,0,0,0.4401619976266392,0.3955264169480412,0.9239814827306729,0.5499959585968248,0,0,0,0.6996902275219953,0.12564396457723565,0.0,0,0,0,0,1,1,0,0.21,0
TXN000029,nikhilsingh@paytm,komal60@upi,189149.38,2025-12-09T10:41:02.649574,9,high,189149.38,2,suspicious,0,unusual,3.1756291226260913,0.5,5,1,39.83893403368705,0.15384615384615385,0,1,1,0.564805745295354,0.027245951169671035,0.031637035464901195,0.09983966433145589,0,1,1,1.0025254575352236,0.4658653747063158,1.0,0,1,1,1,0,0,1,0.3415,0
TXN000030,aditya.sharma@upi,pooja.patel7@paytm,165289.91,2025-10-08T14:55:02.649574,5,high,165289.91,2,recently_registered,0,high-risk,12.014062637326862,0.25,5,1,34.81361552277777,0.15384615384615385,0,1,0,0.865112805917343,0.044693913329404304,0.1200436817972438,0.04982229830197044,1,1,0,1.0025254575352236,0.7684990016510503,1.0,1,1,1,0,0,0,0,0.4001,0
TXN000031,karan.nair@gpay,akash91@phonepe,3937.31,2025-12-11T12:20:02.649574,8,medium,3937.31,4,verified,0,unusual,64.98888244088008,1.6666666666666667,1,1,0.8292811028036426,0.3076923076923077,0,0,0,0.3728380930053974,0.8337023502169445,0.6499256061340207,0.33325403913572127,0,1,0,0.6264225099211561,0.20977825268850928,0.2,0,0,0,0,1,0,1,0.38,0
TXN000032,rohanjain@phonepe,isha34@gpay,3034.59,2025-11-28T01:38:02.649574,18,safe,3034.59,9,verified,0,normal,79.36593454939134,3.3333333333333335,0,0,0.6391488188020272,0.6923076923076923,0,0,0,0.44101653107054023,0.7096913898701992,0.7937324197446843,0.6667031459989575,0,0,0,0.48272373739062063,0.1772565896059774,0.0,0,0,0,0,1,1,0,0.12,0
TXN000033,raj.patel@ybl,arjunrao@oksbi,4673.84,2025-10-09T12:25:02.649574,8,safe,4673.84,8,verified,0,normal,86.12797447966187,4.833333333333333,0,0,0.9844101917079648,0.6153846153846154,0,0,0,0.19192028063203118,0.6002333453280254,0.8613698887154339,0.96680734217587,0,0,0,0.743666458135348,0.3453570233215416,0.0,0,0,0,0,1,1,0,0.1542,0
TXN000034,arjunnair@gpay,isha.dubey8@gpay,301.89,2025-12-15T08:22:02.649574,12,safe,301.89,5,verified,0,normal,94.76306131678463,4.333333333333333,0,0,0.0635833140040673,0.38461538461538464,0,0,0,0.14715052280251512,0.896388249760882,0.9477425549564407,0.8667726101168991,0,0,0,0.047721039218214495,0.09492913602675046,0.0,0,0,0,0,1,1,0,0.0,0
TXN000035,isha.dubey8@gpay,arjun.jain9@phonepe,3423.55,2025-09-27T23:54:02.649574,20,safe,3423.55,8,verified,0,normal,62.28820658195443,4.416666666666667,0,0,0.7210721761944283,0.6153846153846154,0,0,0,0.3368859932312032,0.736246816248367,0.6229120301285879,0.8834450654600611,0,0,0,0.5446400287805058,0.022002288362189096,0.0,0,0,0,0,1,1,0,0.11,0
